GCF_000007745.1_ASM774v1	2314078	4.14	1.78904946159982
GCF_000018105.1_ASM1810v1	8361599	36.22	4.33170736841123
GCF_000022305.1_ASM2230v1	3796573	33.41	8.80004151112069
GCF_000023265.1_ASM2326v1	2158157	38.16	17.6817534590857
GCF_000025305.1_ASM2530v1	2329769	20.62	8.85066287687749
GCF_000093085.1_ASM9308v1	3592487	18.1	5.03829241414096
GCF_000144625.1_ASM14462v1	4662871	15.25	3.27051724141629
GCF_000144695.1_ASM14469v1	2469596	4.3	1.74117547971409
GCF_000146185.1_ASM14618v1	2831389	4.02	1.41979784480338
GCF_000160455.2_ASM16045v2	2123925	8.46	3.98319149687489
GCF_000179595.2_ASM17959v2	6156735	6.23	1.01189997620492
GCF_000196455.1_ASM19645v1	2715461	2.82	1.03849769891742
GCF_000196515.1_ASM19651v1	5486145	9.81	1.78814085300334
GCF_000202835.1_ASM20283v1	4214744	41.27	9.79181653737451
GCF_000237085.1_ASM23708v1	4897678	5.51	1.12502291902408
GCF_000247605.1_ASM24760v1	4044777	5.38	1.33011041152578
GCF_000266925.1_ASM26692v1	2160700	9.42	4.35969824593882
GCF_000371485.1_Clos_clos_90B1_V1	5602152	26.71	4.76781065561948
GCF_000376245.1_ASM37624v1	2419519	29.01	11.9899864394535
GCF_000379545.1_ASM37954v1	3690768	30.37	8.22863967607826
GCF_000381765.1_ASM38176v1	2847348	36.55	12.8365061102471
GCF_000382065.1_ASM38206v1	4424025	42.49	9.60437610546957
GCF_000421505.1_ASM42150v1	7085377	21.19	2.99066655168808
GCF_000423445.1_ASM42344v1	2938072	58.34	19.8565589951506
GCF_000472665.1_ASM47266v1	4050072	9.78	2.41477188553685
GCF_000483165.1_ASM48316v1	924993	0.38	0.410813919672906
GCF_000499525.1_Clostridium_dakarense_01	3735762	1.52	0.406878168362974
GCF_000511955.1_clostridium_ultunense	3216692	2.36	0.733672978326803
GCF_000526235.1_ASM52623v1	1453539	0.63	0.433424902943781
GCF_000526995.1_ASM52699v1	6383701	21.5	3.36795222708582
GCF_000613285.1_ASM61328v1	3041080	20.81	6.84296368395438
GCF_000621585.1_ASM62158v1	3331935	17.94	5.38425869652319
GCF_000687555.1_ASM68755v1	4732373	12.48	2.63715476358267
GCF_000687735.1_ASM68773v1	1282372	0.44	0.343114166560093
GCF_000701585.1_ASM70158v1	4175408	33.07	7.92018408739936
GCF_000717245.1_ASM71724v1	7568795	146.72	19.3848558456135
GCF_000754095.2_ASM75409v2	3359675	31.25	9.30149493626616
GCF_000963925.1_ASM96392v1	3105087	16.91	5.44590215990727
GCF_000963965.1_ASM96396v1	2910689	10.29	3.53524543501556
GCF_000964225.1_ASM96422v1	2687370	15.22	5.6635297707424
GCF_000964365.1_ASM96436v1	3862273	41.71	10.799340181287
GCF_001298955.1_11861_6_29	6720738	50.59	7.527447134526
GCF_001441165.1_ASM144116v1	3651382	73.39	20.0992391374006
GCF_001461035.1_ASM146103v1	3660245	7.82	2.1364690068561
GCF_001461805.1_ASM146180v1	4702949	27.89	5.93032159183525
GCF_001499615.1_Acetobacter_senegalensis_108B	3969909	26.64	6.71048127299643
GCF_001559865.1_ASM155986v1	4786356	1.77	0.369801159796722
GCF_001570905.1_ASM157090v1	2140375	28.61	13.3668165625183
GCF_001570925.1_ASM157092v1	2127204	19.49	9.16226182350165
GCF_001580535.1_ASM158053v1	3088073	21.97	7.11446912038673
GCF_001580615.1_ASM158061v1	3833476	25.85	6.74322729554065
GCF_001580945.1_ASM158094v1	3769631	24.19	6.41707371358098
GCF_001647695.1_ASM164769v1	1589620	1.64	1.03169310904493
GCF_001692755.1_ASM169275v1	3577579	5.6	1.5653043580589
GCF_001705075.2_ASM170507v2	3302271	32.98	9.98706647637338
GCF_001753165.1_ASM175316v1	3526118	32.99	9.3558979024525
GCF_001753245.1_ASM175324v1	3566941	30.3	8.49467372743199
GCF_001904615.1_ASM190461v1	4065636	13.72	3.37462576580884
GCF_001931655.1_ASM193165v1	3503318	18.25	5.20934725308978
GCF_001975725.1_ASM197572v1	3448835	25.96	7.52717946784929
GCF_001989575.1_ASM198957v1	1745789	1.11	0.635815668445614
GCF_002082135.1_ASM208213v1	6366684	57.39	9.01411158461767
GCF_002153515.1_ASM215351v1	3191716	17.3	5.42028175439168
GCF_002173775.1_ASM217377v1	3285832	14.43	4.39158179724344
GCF_002220195.1_ASM222019v1	3127455	14.63	4.67792502210264
GCF_002278035.1_ASM227803v1	5645291	27.92	4.94571493303002
GCF_002356335.1_ASM235633v1	4994485	63.9	12.7941119054317
GCF_002738225.1_ASM273822v1	3332116	13.14	3.94344014434071
GCF_002797975.1_ASM279797v1	5272838	16	3.03441903582094
GCF_002844395.1_ASM284439v1	3604547	3.44	0.954350158286187
GCF_002871005.1_ASM287100v1	5284268	65.68	12.429346883996
GCF_002973605.1_ASM297360v1	3606331	12.82	3.55485949570353
GCF_003151135.1_ASM315113v1	3741513	39.63	10.5919717504657
GCF_003231495.1_AcaThom1.0	5931841	33.62	5.66771766134662
GCF_003285045.1_ASM328504v1	750009	0.13	0.173331253358293
GCF_003325455.1_ASM332545v1	3432872	67.11	19.549228750737
GCF_003330725.1_ASM333072v1	7600726	66.19	8.70837864698714
GCF_003332325.1_ASM333232v1	814478	0.17	0.208722641986647
GCF_003352165.1_ASM335216v1	4037611	32.31	8.00225678006128
GCF_003385765.1_ASM338576v1	1491638	1	0.670403945193137
GCF_003470435.1_ASM347043v1	2959517	6.15	2.07804178857564
GCF_003664555.1_ASM366455v1	5024120	30.11	5.99308933703813
GCF_003710245.1_ASM371024v1	4981783	28.65	5.75095302224123
GCF_003725415.1_YH-panp20	2222132	2.74	1.23305006183251
GCF_003966655.1_ASM396665v1	2921399	23.67	8.10228250232166
GCF_004014775.2_ASM401477v2	3153180	13.51	4.28456352000203
GCF_004102745.1_ASM410274v1	4044838	5.88	1.45370469719677
GCF_004103715.1_ASM410371v1	3743723	3.54	0.945582779495171
GCF_004121055.1_ASM412105v1	6492157	60.75	9.35744468286888
GCF_004339725.1_ASM433972v1	4213726	37.2	8.8282911608396
GCF_004340205.1_ASM434020v1	3861100	13.11	3.39540545440419
